commentid,datahora,userid,productid,storeid,texto
1,2023-09-13 06:28:05,112,15,3,"Aromas discretos, boca correta."
2,2025-06-11 13:02:50,15,161,5,"Corpo médio, acidez equilibrada."
3,2024-04-04 09:24:20,108,102,5,Preço elevado para a qualidade.
4,2024-05-02 07:24:21,89,2,6,Equilibrado e versátil à mesa.
5,2025-08-06 05:24:03,38,179,3,Textura sedosa e final prolongado.
6,2025-04-25 17:38:45,160,158,5,"Seco e mineral, muito gastronómico."
7,2025-10-04 19:24:51,104,198,1,Bom para o dia-a-dia.
8,2023-02-27 10:20:52,138,85,3,"Esperava mais, ficou aquém."
9,2025-03-19 12:31:00,139,72,1,Equilibrado e versátil à mesa.
10,2024-04-30 01:36:49,134,87,6,Final amargo e desagradável.
11,2023-02-13 07:51:36,139,151,2,Perfeito para acompanhar carne vermelha.
12,2024-10-18 17:06:31,130,28,5,"Seco e mineral, muito gastronómico."
13,2024-02-08 12:25:21,161,129,2,"Excelente qualidade, superou as expectativas."
14,2024-11-28 02:07:25,77,146,5,"Seco e mineral, muito gastronómico."
15,2024-01-02 18:20:46,191,148,4,Cheiro desagradável à abertura.
16,2025-07-14 03:40:22,60,89,2,"Surpreendeu pela positiva, muito bom!"
17,2023-08-06 10:30:55,183,96,4,Demasiado ácido para o meu gosto.
18,2024-05-24 07:01:14,133,149,1,Ok para partilhar entre amigos.
19,2024-12-06 17:53:21,26,37,5,"Frutado e fresco, ótimo para o verão."
20,2023-05-08 07:12:42,24,15,3,Precisa de arejamento para mostrar mais.
21,2023-11-30 15:44:34,115,19,2,"Álcool demasiado presente, desequilibrado."
22,2025-07-02 19:09:23,144,132,6,Perfeito para acompanhar carne vermelha.
23,2025-06-26 16:25:25,128,162,3,Precisa de arejamento para mostrar mais.
24,2024-10-09 15:59:30,42,36,4,Notas de baunilha e especiarias muito bem integradas.
25,2023-07-20 23:49:45,181,131,6,"Oxidado, garrafa possivelmente mal acondicionada."
26,2024-12-08 11:44:58,122,8,5,Equilibrado e versátil à mesa.
27,2024-07-27 17:41:49,31,154,6,"Excelente qualidade, superou as expectativas."
28,2024-07-28 03:09:48,147,74,0,Demasiado ácido para o meu gosto.
29,2024-07-31 01:18:24,79,95,2,"Adorei, voltarei a comprar."
30,2023-08-10 22:33:25,37,200,4,Perfeito para acompanhar carne vermelha.
31,2024-03-16 08:59:10,56,46,6,Final amargo e desagradável.
32,2023-07-10 00:42:53,141,89,0,Melhor com comida do que sozinho.
33,2025-01-17 11:33:27,147,79,4,"Excesso de madeira, pouco elegante."
34,2024-08-09 02:58:24,122,184,6,"Esperava mais, ficou aquém."
35,2025-02-23 02:57:38,163,117,6,Notas de baunilha e especiarias muito bem integradas.
36,2023-08-20 10:28:24,187,83,0,"Nariz fechado, melhorou após decantar."
37,2024-09-28 08:03:03,100,59,3,"Adorei, voltarei a comprar."
38,2024-11-19 07:49:25,189,71,5,"Muito agradável ao paladar, aroma intenso."
39,2023-02-08 12:45:48,147,161,6,Final curto mas agradável.
40,2025-05-21 13:14:58,166,31,5,"Oxidado, garrafa possivelmente mal acondicionada."
41,2025-08-19 02:57:32,139,147,6,"Surpreendeu pela positiva, muito bom!"
42,2025-03-21 12:23:28,49,192,3,Final amargo e desagradável.
43,2023-07-06 20:28:54,169,136,1,Final curto mas agradável.
44,2023-11-16 16:57:59,63,180,6,Precisa de arejamento para mostrar mais.
45,2023-05-12 11:54:14,137,155,2,"Adorei, voltarei a comprar."
46,2025-02-02 11:26:34,6,87,3,"Adorei, voltarei a comprar."
47,2025-03-31 01:36:14,82,97,2,"Excelente qualidade, superou as expectativas."
48,2025-04-21 14:59:43,44,73,1,"Excelente qualidade, superou as expectativas."
49,2023-08-28 14:00:47,79,104,5,"Surpreendeu pela positiva, muito bom!"
50,2024-05-20 07:42:58,47,6,5,"Frutado e fresco, ótimo para o verão."
