id,utilizador_id,produto_id,loja_id,datahora,texto,extracted_on
1,1,35,1,2024-09-24 15:04:24,Textura sedosa e final longo.,2024-10-03 18:58:21
2,3,44,1,2023-09-06 00:38:44,"A safra está excelente, recomendo guardar mais alguns anos.",2023-09-11 11:14:05
3,1,56,1,2025-07-17 08:07:22,Muito tânico para o meu gosto.,2025-07-30 10:07:42
4,1,12,1,2023-07-16 02:55:47,Excelente relação qualidade/preço.,2023-08-11 03:14:45
5,3,61,1,2024-04-18 22:50:43,Ótimo com queijos curados.,2024-04-30 15:42:13
6,3,2,2,2025-09-30 18:23:18,"Vinho leve e fresco, ideal para verão.",2025-10-18 08:06:52
7,4,67,2,2024-08-04 19:10:42,Surpreendeu-me pela elegância.,2024-08-21 21:05:30
8,1,63,2,2023-09-22 06:47:24,Surpreendeu-me pela elegância.,2023-10-03 17:22:49
9,4,50,2,2023-01-26 08:01:02,"Gosto muito deste vinho, notas frutadas e bom corpo.",2023-02-03 02:06:55
10,3,30,2,2025-04-06 10:18:14,Loja muito bem organizada.,2025-04-24 10:11:12
11,4,98,1,2025-04-25 08:07:55,Pouco complexo para o preço pedido.,2025-05-11 13:17:29
12,4,6,1,2023-07-29 07:00:32,"Vinho leve e fresco, ideal para verão.",2023-08-13 13:01:48
13,3,56,2,2023-01-01 13:14:52,Muito tânico para o meu gosto.,2023-01-06 08:19:24
14,1,56,1,2025-04-12 08:06:35,"Gosto muito deste vinho, notas frutadas e bom corpo.",2025-04-25 10:41:19
15,3,34,2,2023-02-21 07:29:26,"Vinho leve e fresco, ideal para verão.",2023-03-19 00:50:52
16,2,54,1,2023-08-12 16:07:09,"Entrega rápida, muito satisfeito com o serviço.",2023-08-25 13:22:56
17,4,69,2,2023-08-16 00:27:55,"Adoro vinhos da Toscana, este cumpre bem.",2023-09-15 21:17:53
18,4,48,1,2025-04-10 23:17:00,Ótimo com queijos curados.,2025-04-22 15:24:40
19,4,56,1,2023-07-31 07:02:10,Surpreendeu-me pela elegância.,2023-08-16 04:03:32
20,4,39,2,2023-02-13 21:32:09,"Prefiro vinhos do Douro, este é perto do meu estilo.",2023-02-20 13:53:04
21,2,44,1,2025-04-27 08:08:18,Muito tânico para o meu gosto.,2025-05-21 19:23:15
22,3,65,1,2023-11-12 18:31:52,Recomendo pela rapidez da entrega.,2023-12-12 04:48:17
