id,userid,text,datahora,modelo,sentimento,score,created_on
1,2,"Sabor correto, dentro do esperado.",2023-07-17 11:55:30,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.424377,2025-06-26 10:10:36
2,3,"Excelente vinho, recomendo vivamente.",2023-09-18 19:13:19,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.79337,2025-01-01 04:13:14
3,4,"Sabor correto, dentro do esperado.",2023-09-14 06:52:15,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.451992,2025-10-17 12:13:48
4,3,"Vinho harmonioso e bem trabalhado, surpreendente.",2023-05-22 00:39:43,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.695476,2023-12-19 03:06:38
5,4,"Excelente vinho, recomendo vivamente.",2025-03-28 08:56:55,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.762798,2025-10-26 03:42:12
6,1,Aroma artificial e final amargo.,2023-11-01 16:08:02,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.054799,2025-05-28 11:58:39
7,2,"Vinho harmonioso e bem trabalhado, surpreendente.",2023-07-21 15:47:10,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.667024,2023-12-07 00:06:07
8,4,Acidez equilibrada e notas florais elegantes.,2025-09-16 15:55:41,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.883154,2025-09-25 11:29:20
9,3,"Excelente vinho, recomendo vivamente.",2023-09-14 08:25:47,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.903561,2025-01-27 13:06:49
10,3,"Taninos agressivos, difícil de apreciar.",2024-06-03 11:56:07,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.033367,2024-07-21 01:32:19
11,1,"Vinho harmonioso e bem trabalhado, surpreendente.",2023-12-22 18:22:45,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.888348,2025-02-24 00:22:13
12,4,Acidez equilibrada e notas florais elegantes.,2024-11-17 20:49:36,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.985789,2025-04-14 20:26:49
13,2,Acidez equilibrada e notas florais elegantes.,2024-02-06 11:11:41,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.796054,2025-07-05 16:27:58
14,3,"Vinho harmonioso e bem trabalhado, surpreendente.",2023-04-17 20:21:54,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.984637,2025-07-23 13:20:05
15,3,"Vinho harmonioso e bem trabalhado, surpreendente.",2025-03-18 12:54:04,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.949105,2025-09-24 00:53:27
16,2,"Muito abaixo das expectativas, dececionante.",2025-02-04 22:45:07,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.132204,2025-10-21 13:48:48
17,3,"Muito abaixo das expectativas, dececionante.",2023-12-22 13:39:35,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.08179,2025-04-04 13:00:58
18,2,"Excelente vinho, recomendo vivamente.",2023-08-12 22:05:03,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.711089,2025-03-08 11:31:09
19,2,"Aroma frutado e agradável, final persistente.",2025-04-27 02:33:16,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.939031,2025-05-16 03:57:10
20,4,"Aroma frutado e agradável, final persistente.",2024-08-21 07:50:52,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.914751,2025-05-29 14:45:22
21,4,Notas de oxidação e sabor desequilibrado.,2023-01-03 01:14:06,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.125941,2025-10-20 16:33:13
22,3,"Muito abaixo das expectativas, dececionante.",2025-06-24 09:01:57,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.096332,2025-07-29 20:12:32
23,2,"Excelente vinho, recomendo vivamente.",2024-09-11 10:09:29,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.960049,2024-10-25 10:05:27
24,1,Acidez equilibrada e notas florais elegantes.,2025-09-23 21:05:27,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.778387,2025-10-10 03:52:34
