sentimento_id,utilizador_id,text,datahora,modelo,sentimento,score,created_on
1,1,venda vinho enlatar de o atriz Elizabeth Banks em o temporada férias beneficiar organização humanitário global de o chef José Andrés,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.6744804978370667,2025-11-20 22:22:27.948740
2,1,fundação global uva humanidade fazer parceria José Andrés algum de o grande nome de o vinho apoiar hôpital albert schweitzer em o haiti,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.5895328521728516,2025-11-20 22:22:27.948740
3,1,querido dr Vinny garrafa US 40 garrafa US 750 poder marcar 94 ponto classificação fornecer dentro faixa preço específico diabo escolher vinho caro pontuação kelly Lake Charles la querir Kelly saber difícil entender a o primeira vista fazer pouco sentido perceber em o wine espectador todo vinho avaliar degustação cega significar produtor preço levar consideração vinho colocar voos grupo par voo agrupar variedade uva safro denominação semelhante significar 2 021 cabernet Napa Valley degustar junto 2 024 Marlborough Sauvignon Blancs degustar voo diferente provador conhecer categoria acreditar vinho dever reflectir casta colheita denominação representar razão por o informação prestar a o avaliar vinho degustação cega descobrir algum vinho acessível bom qualidade agradável do exemplo caro novo produtor ter tanto chance produzir vinho fantástico quanto vinícola existir centena ano gostar pensar forma democrático avaliar vinho ótimo maneira descobrir valor estelar nota 94 ponto US 40 classificação dar dentro faixa preço específico a o reunir vinho grupo par tender algum agregação natural preço praticamente garantir vinho US 100 em aquele voo Marlborough Sauvignon Blanc de o forma ficar surpreso vinho abaixo US 100 em o voo Napa Cabernet novamente provador conhecer nenhum preço durante degustação poder encontrar algum vinho 94 ponto ambos voos a o eliminar preço produtor provador poder focar exclusivamente em o qualidade de o vinho em o taça diferença qualidade estilo poder gostar todo vinho 94 ponto existir embora sistema degustação a o cega projetar garantir todo vinho 94 ponto alcancer nível qualidade imenso variação estilístico vinho de esse nível a o vez dentro categoria específico todo cabernets napa 94 ponto ter sabor outro palavra coisa bom decidir comprar garrafa US 750 poder de o agrado fazer sentido ambiente acessível poder exatamente procurar último análise próprio experiência preferência dever grande guia resposta errar saber dois vinho ter pontuação processo degustação a o cega apenas ponto dado esperar útil considerar a o fazer compra claro existir outro motivo comprar garrafa poder basear em o qualidade vinho poder produtor favorito ano importante região sentimental recomendação apaixonar poder apenas gostar de o rótulo feliz beber vinho importar motivo importar quanto custir garrafa Dr Viny,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.5115492343902588,2025-11-20 22:22:27.948740
4,1,alexander van beek de o Château Giscours juntar se a o podcast falar sobre década em o propriedade Bordeaux dar reação Giscours ganhar prêmio vinho de o ano 2025,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.5617499947547913,2025-11-20 22:22:27.948740
5,1,de o grande marca familiar de o Califórnia apostar Mill Creek,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.8089420795440674,2025-11-20 22:22:27.948740
6,1,novo documentário sobre bebida de o cineasta Frank Mannion explorar contribuição de o Irlanda vinho uísque cerveja além de isso quanto de o casa de o Guinness de o Netflix verdade,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.7277347445487976,2025-11-20 22:22:27.948740
7,1,assumir localização de o grande premiado picasso novo restaurante de o grande grupo alimento concentra se fruto de o mar extensa adegar além de isso grupo hospitalidade Union Square Danny Meyer expandir Detroit 2026,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.532940149307251,2025-11-20 22:22:27.948740
8,1,olhar profundamente Monte Etna vulcão ativo de o Europa de o documento popular de o Sicília,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.637733519077301,2025-11-20 22:22:27.948740
9,1,varejista vinho sede Londres abrir loja Washington D C plano em o EUA loja,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.9074405431747437,2025-11-20 22:22:27.948740
10,1,lendário restaurante premiar lançar visita guiar de o coleção vinho extraordinário de o mundo repleta 14 000 seleção,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.5708766579627991,2025-11-20 22:22:27.948740
11,1,querido dr Vinny bom forma tirar rolha garrafa vinho ter saca rolhas funcione Beth Columbus Ohio querer Beth existir várias escola pensamento sobre bom forma abordar situação descrevi comum abaixo prossiga cuidado embora dever funcionar dificuldade provável algum respingo derramamento envolver tentar método ter perguntar todo em o imediação talvez telefonar amigo vizinho ter saca rolhas poder pegar emprestar em o topo montanha acreditar lá poder perto bom tudo poder fazer novo amigo de o vinho retire empurrer rolha totalmente dentro usar chave fenda colher pau faca manteiga empurrar rolha dentro de o garrafa então poder usar canudo pauzinho manter rolha de o caminho a o servir copo despejar vinho garrafa evitar rolho grude a o servir vinho use calor teoria calor isqueiro vela alisador cabelo água quente maçarico poder funcionar ar em o espaço rolha vinho esquentar expander pressão dever empurrar rolha tome cuidado direcionar calor em o gargalo de o garrafa acima de o nível enchimento aqueçar garrafa menos possível caso contrário corre se risco aquecer demasiado garrafa inseguro possivelmente aquecer vinho poder cozinhar ele alterar sabor método poder levar tempo precisar girar garrafa retire todo cápsula qualquer cera primeiro encontre substituto saca rolhas relato chave carro chave fenda cabide arame faco serrilhar parafuso prego porta milho usar como saca rolho improvisar coloque objeto escolha em o rolha ângulo cerca 45 grau certifique se penetre por o menos metade de o rolha evitar esfarelar seguida tentar usar alavanca contra garrafa retirar ela ter martelo poder usar parte de o garra retirar parafuso prego método cadarço barbante método pouco complicado funcionar bem querer servir vinho de o garrafa rolha nadar dentro de ela primeiro empurrer rolha dentro de o garrafa chave fenda outro objeto pontiagudo seguida dê nó em o ponta pedaço cadarço barbante empurre o dentro de o garrafa fazer nó abaixo de o rolha método fácil colocar vinho garrafa antes manusear rolha seguida puxer barbante firmeza nó dever pegar borda de o rolha puxar ela escolha sapato poder parecer menos convencional em o verdade fácel talvez confiável coloque base de o garrafa em o salto sapato algo plano funcionar em o verdade sola firme vez tênis desejável seguida batar garrafa repetidamente contra superfície firme chão parede árvore pressão empurrar rolha de o garrafa pare antes saiar completamente crie bagunça deixe me saber ter algum outro ideia história tirar rolha saca rolhas funcionando perto seguro felicidade Dr Viny,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.48703399300575256,2025-11-20 22:22:27.948740
12,1,coquetel lote tornar festa fim ano leve fácil,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.5567322969436646,2025-11-20 22:22:27.948740
13,1,fundamental ajudar definir chardonnay californiano enólogo defender terroir desconhecer recém chegar a o vinho,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.5435411334037781,2025-11-20 22:22:27.948740
14,1,novembro em o dia 13 vinho raro de o adega de o falecido gerente de o Château d yquem leiloar por o Daguerre onlinar pessoalmente em o Hôtel Drouot Paris,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.49898117780685425,2025-11-20 22:22:27.948740
15,1,juíz ouvirar argumento oral sobre tarifa precedente de o presidente Trump passar em o teste constitucional,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.6056326627731323,2025-11-20 22:22:27.948740
16,1,Kendall Jackson de o Califórnia colocar basquete dentro de o garrafa ajuda de o designer anel troféu de o NBA,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.625635027885437,2025-11-20 22:22:27.948740
37,1,passo de o stelvio subir bormio envelhecimento subaquático poder ter rival pós envelhecimento em o montanha poder levar vinho de o Valtellina novo patamar aparecer primeiro decantador,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.45440396666526794,2025-11-20 22:22:27.948740
38,1,a o vez problema julgar livro por o capa postr charme de o rótulo vinho importar de o dentro aparecer primeiro decantador,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.4834972620010376,2025-11-20 22:22:27.948740
39,1,encontrar garrafa perfeito experimente comprar vinho onliner postr especialista revelar bom truque comprar vinho onlinar aparecer primeiro em o decanter,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.5972519516944885,2025-11-20 22:22:27.948740
40,1,conhecer copresidente residente 2026 saber sobre novo função postagem apresentar copresidente residente de o dwwa dar boas vinda caro maurer mw aparecer primeiro decanter,2025-11-20 22:18:32.000000,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEUTRO,0.5751635432243347,2025-11-20 22:22:27.948740
113,2,adorar vinho de o porto,2025-11-20 22:18:26.074470,cardiffnlp/twitter-xlm-roberta-base-sentiment,POSITIVO,0.541954755783081,2025-11-20 22:22:35.282755
114,3,fraco experiência Mateus rosé,2025-11-20 22:18:26.074470,cardiffnlp/twitter-xlm-roberta-base-sentiment,NEGATIVO,0.9198341965675354,2025-11-20 22:22:35.282755
